surah_no,ayah_no_surah,surah_name_ar,ayah_ar,label,ayah_en,surah_name_en,surah_name_roman
45,20,سورة الجاثية,هَٰذَا بَصَٰٓئِرُ لِلنَّاسِ وَهُدٗى وَرَحۡمَةٞ لِّقَوۡمٖ يُوقِنُونَ,fear,This Quran is an insight for humanitya guide and mercy for people of sure faith.,The Crouching,Al-Jathiyah
45,27,سورة الجاثية,وَلِلَّهِ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ وَيَوۡمَ تَقُومُ ٱلسَّاعَةُ يَوۡمَئِذٖ يَخۡسَرُ ٱلۡمُبۡطِلُونَ,fear,"To Allah alone belongs the kingdom of the heavens and the earth. On the Day the Hour will be established, the people of falsehood will then be in total loss.",The Crouching,Al-Jathiyah
45,29,سورة الجاثية,هَٰذَا كِتَٰبُنَا يَنطِقُ عَلَيۡكُم بِٱلۡحَقِّۚ إِنَّا كُنَّا نَسۡتَنسِخُ مَا كُنتُمۡ تَعۡمَلُونَ,fear,"This record of Ours speaks the truth about you. Indeed, We always had your deeds recorded by the angels.",The Crouching,Al-Jathiyah
45,34,سورة الجاثية,وَقِيلَ ٱلۡيَوۡمَ نَنسَىٰكُمۡ كَمَا نَسِيتُمۡ لِقَآءَ يَوۡمِكُمۡ هَٰذَا وَمَأۡوَىٰكُمُ ٱلنَّارُ وَمَا لَكُم مِّن نَّٰصِرِينَ,fear,"It will be said, This Day We will neglect you as you neglected the meeting of this Day of yours! Your home will be the Fire, and you will have no helpers.",The Crouching,Al-Jathiyah
45,18,سورة الجاثية,ثُمَّ جَعَلۡنَٰكَ عَلَىٰ شَرِيعَةٖ مِّنَ ٱلۡأَمۡرِ فَٱتَّبِعۡهَا وَلَا تَتَّبِعۡ أَهۡوَآءَ ٱلَّذِينَ لَا يَعۡلَمُونَ,joy,"Now We have set you O Prophet on the clear Way of faith. So follow it, and do not follow the desires of those who do not know the truth.",The Crouching,Al-Jathiyah
45,36,سورة الجاثية,فَلِلَّهِ ٱلۡحَمۡدُ رَبِّ ٱلسَّمَٰوَٰتِ وَرَبِّ ٱلۡأَرۡضِ رَبِّ ٱلۡعَٰلَمِينَ,joy,"So all praise is for AllahLord of the heavens and Lord of the earth, Lord of all worlds.",The Crouching,Al-Jathiyah
45,6,سورة الجاثية,تِلۡكَ ءَايَٰتُ ٱللَّهِ نَتۡلُوهَا عَلَيۡكَ بِٱلۡحَقِّۖ فَبِأَيِّ حَدِيثِۭ بَعۡدَ ٱللَّهِ وَءَايَٰتِهِۦ يُؤۡمِنُونَ,sadness,These are Allahs revelations which We recite to you O Prophet in truth. So what message will they believe in after denying Allah and His revelations?,The Crouching,Al-Jathiyah
44,3,سورة الدخان,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةٖ مُّبَٰرَكَةٍۚ إِنَّا كُنَّا مُنذِرِينَ,anger,"Indeed, We sent it down on a blessed night, for We always warn against evil.",The Smoke,Ad-Dukhan
44,14,سورة الدخان,ثُمَّ تَوَلَّوۡاْ عَنۡهُ وَقَالُواْ مُعَلَّمٞ مَّجۡنُونٌ,anger,"then they turned away from him, saying, A madman, taught by others!?",The Smoke,Ad-Dukhan
44,16,سورة الدخان,يَوۡمَ نَبۡطِشُ ٱلۡبَطۡشَةَ ٱلۡكُبۡرَىٰٓ إِنَّا مُنتَقِمُونَ,anger,"Then on the Day We will deal you the fiercest blow, We will surely inflict punishment.",The Smoke,Ad-Dukhan
44,25,سورة الدخان,كَمۡ تَرَكُواْ مِن جَنَّٰتٖ وَعُيُونٖ,anger,"Imagine how many gardens and springs the tyrants left behind,",The Smoke,Ad-Dukhan
44,4,سورة الدخان,فِيهَا يُفۡرَقُ كُلُّ أَمۡرٍ حَكِيمٍ,fear,On that night every matter of wisdom is ordained,The Smoke,Ad-Dukhan
44,10,سورة الدخان,فَٱرۡتَقِبۡ يَوۡمَ تَأۡتِي ٱلسَّمَآءُ بِدُخَانٖ مُّبِينٖ,fear,"Wait then O Prophet for the day when the sky will be veiled in haze, clearly visible,",The Smoke,Ad-Dukhan
44,12,سورة الدخان,رَّبَّنَا ٱكۡشِفۡ عَنَّا ٱلۡعَذَابَ إِنَّا مُؤۡمِنُونَ,fear,"Our Lord! Remove this torment from us, and we will certainly believe.",The Smoke,Ad-Dukhan
44,15,سورة الدخان,إِنَّا كَاشِفُواْ ٱلۡعَذَابِ قَلِيلًاۚ إِنَّكُمۡ عَآئِدُونَ,fear,"Indeed, We will remove that torment for a while, and you Meccans will return to disbelief.",The Smoke,Ad-Dukhan
44,23,سورة الدخان,فَأَسۡرِ بِعِبَادِي لَيۡلًا إِنَّكُم مُّتَّبَعُونَ,fear,"Allah responded, Leave with My servants at night, for you will surely be pursued.",The Smoke,Ad-Dukhan
44,28,سورة الدخان,كَذَٰلِكَۖ وَأَوۡرَثۡنَٰهَا قَوۡمًا ءَاخَرِينَ,fear,So it was. And We awarded it all to another people.,The Smoke,Ad-Dukhan
44,32,سورة الدخان,وَلَقَدِ ٱخۡتَرۡنَٰهُمۡ عَلَىٰ عِلۡمٍ عَلَى ٱلۡعَٰلَمِينَ,fear,"And indeed, We chose the Israelites knowingly above the others.",The Smoke,Ad-Dukhan
44,33,سورة الدخان,وَءَاتَيۡنَٰهُم مِّنَ ٱلۡأٓيَٰتِ مَا فِيهِ بَلَٰٓؤٞاْ مُّبِينٌ,fear,And We showed them signs in which there was a clear test.,The Smoke,Ad-Dukhan
44,39,سورة الدخان,مَا خَلَقۡنَٰهُمَآ إِلَّا بِٱلۡحَقِّ وَلَٰكِنَّ أَكۡثَرَهُمۡ لَا يَعۡلَمُونَ,fear,"We only created them for a purpose, but most of these pagans do not know.",The Smoke,Ad-Dukhan
44,40,سورة الدخان,إِنَّ يَوۡمَ ٱلۡفَصۡلِ مِيقَٰتُهُمۡ أَجۡمَعِينَ,fear,Surely the Day of Final Decision is the time appointed for all,The Smoke,Ad-Dukhan
44,41,سورة الدخان,يَوۡمَ لَا يُغۡنِي مَوۡلًى عَن مَّوۡلٗى شَيۡـٔٗا وَلَا هُمۡ يُنصَرُونَ,fear,"the Day no kith or kin will be of benefit to another whatsoever, nor will they be helped,",The Smoke,Ad-Dukhan
44,43,سورة الدخان,إِنَّ شَجَرَتَ ٱلزَّقُّومِ,fear,Surely the fruit of the tree of Zaqqm,The Smoke,Ad-Dukhan
44,45,سورة الدخان,كَٱلۡمُهۡلِ يَغۡلِي فِي ٱلۡبُطُونِ,fear,"Like molten metal, it will boil in the bellies",The Smoke,Ad-Dukhan
44,46,سورة الدخان,كَغَلۡيِ ٱلۡحَمِيمِ,fear,like the boiling of hot water.,The Smoke,Ad-Dukhan
44,56,سورة الدخان,لَا يَذُوقُونَ فِيهَا ٱلۡمَوۡتَ إِلَّا ٱلۡمَوۡتَةَ ٱلۡأُولَىٰۖ وَوَقَىٰهُمۡ عَذَابَ ٱلۡجَحِيمِ,fear,"There they will never taste death, beyond the first death. And He will protect them from the punishment of the Hellfire",The Smoke,Ad-Dukhan
44,59,سورة الدخان,فَٱرۡتَقِبۡ إِنَّهُم مُّرۡتَقِبُونَ,fear,Wait then! They too are certainly waiting.,The Smoke,Ad-Dukhan
44,6,سورة الدخان,رَحۡمَةٗ مِّن رَّبِّكَۚ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,joy,"as a mercy from your Lord. He alone is truly the AllHearing, AllKnowing",The Smoke,Ad-Dukhan
44,8,سورة الدخان,لَآ إِلَٰهَ إِلَّا هُوَ يُحۡيِۦ وَيُمِيتُۖ رَبُّكُمۡ وَرَبُّ ءَابَآئِكُمُ ٱلۡأَوَّلِينَ,joy,"There is no god worthy of worship except Him. He alone gives life and causes death. He is your Lord, and the Lord of your forefathers.",The Smoke,Ad-Dukhan
44,42,سورة الدخان,إِلَّا مَن رَّحِمَ ٱللَّهُۚ إِنَّهُۥ هُوَ ٱلۡعَزِيزُ ٱلرَّحِيمُ,joy,"except those shown mercy by Allah. He is truly the Almighty, Most Merciful.",The Smoke,Ad-Dukhan
44,51,سورة الدخان,إِنَّ ٱلۡمُتَّقِينَ فِي مَقَامٍ أَمِينٖ,joy,"Indeed, the righteous will be in a secure place,",The Smoke,Ad-Dukhan
44,52,سورة الدخان,فِي جَنَّٰتٖ وَعُيُونٖ,joy,"amid Gardens and springs,",The Smoke,Ad-Dukhan
44,53,سورة الدخان,يَلۡبَسُونَ مِن سُندُسٖ وَإِسۡتَبۡرَقٖ مُّتَقَٰبِلِينَ,joy,"dressed in fine silk and rich brocade, facing one another.",The Smoke,Ad-Dukhan
44,54,سورة الدخان,كَذَٰلِكَ وَزَوَّجۡنَٰهُم بِحُورٍ عِينٖ,joy,So it will be. And We will pair them to maidens with gorgeous eyes.,The Smoke,Ad-Dukhan
44,55,سورة الدخان,يَدۡعُونَ فِيهَا بِكُلِّ فَٰكِهَةٍ ءَامِنِينَ,joy,There they will call for every fruit in serenity.,The Smoke,Ad-Dukhan
44,57,سورة الدخان,فَضۡلٗا مِّن رَّبِّكَۚ ذَٰلِكَ هُوَ ٱلۡفَوۡزُ ٱلۡعَظِيمُ,joy,as an act of grace from your Lord. That is truly the ultimate triumph.,The Smoke,Ad-Dukhan
44,9,سورة الدخان,بَلۡ هُمۡ فِي شَكّٖ يَلۡعَبُونَ,sadness,"In fact, they are in doubt, amusing themselves.",The Smoke,Ad-Dukhan
44,13,سورة الدخان,أَنَّىٰ لَهُمُ ٱلذِّكۡرَىٰ وَقَدۡ جَآءَهُمۡ رَسُولٞ مُّبِينٞ,sadness,"How can they be reminded when a messenger has already come to them, making things clear,",The Smoke,Ad-Dukhan
44,19,سورة الدخان,وَأَن لَّا تَعۡلُواْ عَلَى ٱللَّهِۖ إِنِّيٓ ءَاتِيكُم بِسُلۡطَٰنٖ مُّبِينٖ,sadness,And do not be arrogant with Allah. I have certainly come to you with a compelling proof.,The Smoke,Ad-Dukhan
44,21,سورة الدخان,وَإِن لَّمۡ تُؤۡمِنُواْ لِي فَٱعۡتَزِلُونِ,sadness,"But if you do not believe me, then let me be.",The Smoke,Ad-Dukhan
44,22,سورة الدخان,فَدَعَا رَبَّهُۥٓ أَنَّ هَٰٓؤُلَآءِ قَوۡمٞ مُّجۡرِمُونَ,sadness,"Ultimately, he cried out to his Lord, These are a wicked people!",The Smoke,Ad-Dukhan
44,24,سورة الدخان,وَٱتۡرُكِ ٱلۡبَحۡرَ رَهۡوًاۖ إِنَّهُمۡ جُندٞ مُّغۡرَقُونَ,sadness,"And leave the sea parted, for they are certainly an army bound to drown.",The Smoke,Ad-Dukhan
44,29,سورة الدخان,فَمَا بَكَتۡ عَلَيۡهِمُ ٱلسَّمَآءُ وَٱلۡأَرۡضُ وَمَا كَانُواْ مُنظَرِينَ,sadness,"Neither heaven nor earth wept over them, nor was their fate delayed.",The Smoke,Ad-Dukhan
44,44,سورة الدخان,طَعَامُ ٱلۡأَثِيمِ,sadness,will be the food of the evildoer.,The Smoke,Ad-Dukhan
43,5,سورة الزخرف,أَفَنَضۡرِبُ عَنكُمُ ٱلذِّكۡرَ صَفۡحًا أَن كُنتُمۡ قَوۡمٗا مُّسۡرِفِينَ,anger,Should We then turn the Quranic Reminder away from you simply because you have been a transgressing people?,The Ornaments of Gold,Az-Zukhruf
43,7,سورة الزخرف,وَمَا يَأۡتِيهِم مِّن نَّبِيٍّ إِلَّا كَانُواْ بِهِۦ يَسۡتَهۡزِءُونَ,anger,But no prophet ever came to them without being mocked.,The Ornaments of Gold,Az-Zukhruf
43,8,سورة الزخرف,فَأَهۡلَكۡنَآ أَشَدَّ مِنۡهُم بَطۡشٗا وَمَضَىٰ مَثَلُ ٱلۡأَوَّلِينَ,anger,So We destroyed those who were far mightier than these Meccans. The examples of their predecessors have already been related.,The Ornaments of Gold,Az-Zukhruf
43,16,سورة الزخرف,أَمِ ٱتَّخَذَ مِمَّا يَخۡلُقُ بَنَاتٖ وَأَصۡفَىٰكُم بِٱلۡبَنِينَ,anger,"Has He taken angels as His daughters from what He created, and favoured you O pagans with sons?",The Ornaments of Gold,Az-Zukhruf
43,21,سورة الزخرف,أَمۡ ءَاتَيۡنَٰهُمۡ كِتَٰبٗا مِّن قَبۡلِهِۦ فَهُم بِهِۦ مُسۡتَمۡسِكُونَ,anger,"Or have We given them a Book for proof, before this Quran, to which they are holding firm?",The Ornaments of Gold,Az-Zukhruf
43,26,سورة الزخرف,وَإِذۡ قَالَ إِبۡرَٰهِيمُ لِأَبِيهِ وَقَوۡمِهِۦٓ إِنَّنِي بَرَآءٞ مِّمَّا تَعۡبُدُونَ,anger,"Remember, O  Prophet when Abraham declared to his father and his people, I am totally free of whatever gods you worship,",The Ornaments of Gold,Az-Zukhruf
43,36,سورة الزخرف,وَمَن يَعۡشُ عَن ذِكۡرِ ٱلرَّحۡمَٰنِ نُقَيِّضۡ لَهُۥ شَيۡطَٰنٗا فَهُوَ لَهُۥ قَرِينٞ,anger,"And whoever turns a blind eye to the Reminder of the Most Compassionate, We place at the disposal of each a devilish one as their close associate,",The Ornaments of Gold,Az-Zukhruf
43,41,سورة الزخرف,فَإِمَّا نَذۡهَبَنَّ بِكَ فَإِنَّا مِنۡهُم مُّنتَقِمُونَ,anger,"Even if We take you away from this world, We will surely inflict punishment upon them.",The Ornaments of Gold,Az-Zukhruf
43,50,سورة الزخرف,فَلَمَّا كَشَفۡنَا عَنۡهُمُ ٱلۡعَذَابَ إِذَا هُمۡ يَنكُثُونَ,anger,"But as soon as We removed the torments from them, they broke their promise.",The Ornaments of Gold,Az-Zukhruf
43,67,سورة الزخرف,ٱلۡأَخِلَّآءُ يَوۡمَئِذِۭ بَعۡضُهُمۡ لِبَعۡضٍ عَدُوٌّ إِلَّا ٱلۡمُتَّقِينَ,anger,"Close friends will be enemies to one another on that Day, except the righteous,",The Ornaments of Gold,Az-Zukhruf
43,81,سورة الزخرف,قُلۡ إِن كَانَ لِلرَّحۡمَٰنِ وَلَدٞ فَأَنَا۠ أَوَّلُ ٱلۡعَٰبِدِينَ,anger,"Say, O Prophet, If the Most Compassionate really had offspring, I would be the first worshipper.",The Ornaments of Gold,Az-Zukhruf
43,88,سورة الزخرف,وَقِيلِهِۦ يَٰرَبِّ إِنَّ هَٰٓؤُلَآءِ قَوۡمٞ لَّا يُؤۡمِنُونَ,anger,"Allah is Aware of the Prophets cry: O my Lord! Indeed, these are a people who persist in disbelief.",The Ornaments of Gold,Az-Zukhruf
43,25,سورة الزخرف,فَٱنتَقَمۡنَا مِنۡهُمۡۖ فَٱنظُرۡ كَيۡفَ كَانَ عَٰقِبَةُ ٱلۡمُكَذِّبِينَ,fear,So We inflicted punishment upon them. See then what was the fate of the deniers!,The Ornaments of Gold,Az-Zukhruf
43,29,سورة الزخرف,بَلۡ مَتَّعۡتُ هَٰٓؤُلَآءِ وَءَابَآءَهُمۡ حَتَّىٰ جَآءَهُمُ ٱلۡحَقُّ وَرَسُولٞ مُّبِينٞ,fear,"In fact, I had allowed enjoyment for these Meccans and their forefathers, until the truth came to them along with a messenger making things clear.",The Ornaments of Gold,Az-Zukhruf
43,33,سورة الزخرف,وَلَوۡلَآ أَن يَكُونَ ٱلنَّاسُ أُمَّةٗ وَٰحِدَةٗ لَّجَعَلۡنَا لِمَن يَكۡفُرُ بِٱلرَّحۡمَٰنِ لِبُيُوتِهِمۡ سُقُفٗا مِّن فِضَّةٖ وَمَعَارِجَ عَلَيۡهَا يَظۡهَرُونَ,fear,"Were it not that people might be tempted to become one community of disbelievers, We would have supplied the homes of only those who disbelieve in the Most Compassionate with silver roofs and silver stairways to ascend,",The Ornaments of Gold,Az-Zukhruf
43,34,سورة الزخرف,وَلِبُيُوتِهِمۡ أَبۡوَٰبٗا وَسُرُرًا عَلَيۡهَا يَتَّكِـُٔونَ,fear,"as well as silver gates and thrones to recline on,",The Ornaments of Gold,Az-Zukhruf
43,37,سورة الزخرف,وَإِنَّهُمۡ لَيَصُدُّونَهُمۡ عَنِ ٱلسَّبِيلِ وَيَحۡسَبُونَ أَنَّهُم مُّهۡتَدُونَ,fear,who will certainly hinder them from the Right Way while they think they are rightly guided.,The Ornaments of Gold,Az-Zukhruf
43,44,سورة الزخرف,وَإِنَّهُۥ لَذِكۡرٞ لَّكَ وَلِقَوۡمِكَۖ وَسَوۡفَ تُسۡـَٔلُونَ,fear,Surely this Quran is a glory for you and your people. And you will all be questioned about it.,The Ornaments of Gold,Az-Zukhruf
43,55,سورة الزخرف,فَلَمَّآ ءَاسَفُونَا ٱنتَقَمۡنَا مِنۡهُمۡ فَأَغۡرَقۡنَٰهُمۡ أَجۡمَعِينَ,fear,"So when they enraged Us, We inflicted punishment upon them, drowning them all.",The Ornaments of Gold,Az-Zukhruf
43,74,سورة الزخرف,إِنَّ ٱلۡمُجۡرِمِينَ فِي عَذَابِ جَهَنَّمَ خَٰلِدُونَ,fear,"Indeed, the wicked will be in the torment of Hell forever.",The Ornaments of Gold,Az-Zukhruf
43,77,سورة الزخرف,وَنَادَوۡاْ يَٰمَٰلِكُ لِيَقۡضِ عَلَيۡنَا رَبُّكَۖ قَالَ إِنَّكُم مَّٰكِثُونَ,fear,"They will cry, O Malik! Let your Lord finish us off. He will answer, You are definitely here to stay.",The Ornaments of Gold,Az-Zukhruf
43,80,سورة الزخرف,أَمۡ يَحۡسَبُونَ أَنَّا لَا نَسۡمَعُ سِرَّهُمۡ وَنَجۡوَىٰهُمۚ بَلَىٰ وَرُسُلُنَا لَدَيۡهِمۡ يَكۡتُبُونَ,fear,"Or do they think that We do not hear their evil thoughts and secret talks? Yes We do! And Our messengerangels are in their presence, recording it all.",The Ornaments of Gold,Az-Zukhruf
43,82,سورة الزخرف,سُبۡحَٰنَ رَبِّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ رَبِّ ٱلۡعَرۡشِ عَمَّا يَصِفُونَ,fear,"Glorified is the Lord of the heavens and the earth, the Lord of the Throne, far above what they claim.",The Ornaments of Gold,Az-Zukhruf
43,83,سورة الزخرف,فَذَرۡهُمۡ يَخُوضُواْ وَيَلۡعَبُواْ حَتَّىٰ يُلَٰقُواْ يَوۡمَهُمُ ٱلَّذِي يُوعَدُونَ,fear,"So let them indulge in falsehood and amuse themselves until they face their Day, which they have been warned of.",The Ornaments of Gold,Az-Zukhruf
43,3,سورة الزخرف,إِنَّا جَعَلۡنَٰهُ قُرۡءَٰنًا عَرَبِيّٗا لَّعَلَّكُمۡ تَعۡقِلُونَ,joy,"Certainly, We have made it a Quran in Arabic so perhaps you will understand.",The Ornaments of Gold,Az-Zukhruf
43,10,سورة الزخرف,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ مَهۡدٗا وَجَعَلَ لَكُمۡ فِيهَا سُبُلٗا لَّعَلَّكُمۡ تَهۡتَدُونَ,joy,"He is the One Who has laid out the earth for you, and set in it pathways for you so that you may find your way.",The Ornaments of Gold,Az-Zukhruf
43,27,سورة الزخرف,إِلَّا ٱلَّذِي فَطَرَنِي فَإِنَّهُۥ سَيَهۡدِينِ,joy,"except the One Who originated me, and He will surely guide me.",The Ornaments of Gold,Az-Zukhruf
43,32,سورة الزخرف,أَهُمۡ يَقۡسِمُونَ رَحۡمَتَ رَبِّكَۚ نَحۡنُ قَسَمۡنَا بَيۡنَهُم مَّعِيشَتَهُمۡ فِي ٱلۡحَيَوٰةِ ٱلدُّنۡيَاۚ وَرَفَعۡنَا بَعۡضَهُمۡ فَوۡقَ بَعۡضٖ دَرَجَٰتٖ لِّيَتَّخِذَ بَعۡضُهُم بَعۡضٗا سُخۡرِيّٗاۗ وَرَحۡمَتُ رَبِّكَ خَيۡرٞ مِّمَّا يَجۡمَعُونَ,joy,Is it they who distribute your Lords mercy? We alone have distributed their very livelihood among them in this worldly life and raised some of them in rank above others so that some may employ others in service. But your Lords mercy is far better than whatever wealth they amass.,The Ornaments of Gold,Az-Zukhruf
43,43,سورة الزخرف,فَٱسۡتَمۡسِكۡ بِٱلَّذِيٓ أُوحِيَ إِلَيۡكَۖ إِنَّكَ عَلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ,joy,So hold firmly to what has been revealed to you O Prophet. You are truly on the Straight Path.,The Ornaments of Gold,Az-Zukhruf
43,56,سورة الزخرف,فَجَعَلۡنَٰهُمۡ سَلَفٗا وَمَثَلٗا لِّلۡأٓخِرِينَ,joy,And We made them an example and a lesson for those after them.,The Ornaments of Gold,Az-Zukhruf
43,61,سورة الزخرف,وَإِنَّهُۥ لَعِلۡمٞ لِّلسَّاعَةِ فَلَا تَمۡتَرُنَّ بِهَا وَٱتَّبِعُونِۚ هَٰذَا صِرَٰطٞ مُّسۡتَقِيمٞ,joy,"And his second coming is truly a sign for the Hour. So have no doubt about it, and follow me. This is the Straight Path.",The Ornaments of Gold,Az-Zukhruf
43,70,سورة الزخرف,ٱدۡخُلُواْ ٱلۡجَنَّةَ أَنتُمۡ وَأَزۡوَٰجُكُمۡ تُحۡبَرُونَ,joy,"Enter Paradise, you and your spouses, rejoicing.",The Ornaments of Gold,Az-Zukhruf
43,72,سورة الزخرف,وَتِلۡكَ ٱلۡجَنَّةُ ٱلَّتِيٓ أُورِثۡتُمُوهَا بِمَا كُنتُمۡ تَعۡمَلُونَ,joy,That is the Paradise which you will be awarded for what you used to do.,The Ornaments of Gold,Az-Zukhruf
43,73,سورة الزخرف,لَكُمۡ فِيهَا فَٰكِهَةٞ كَثِيرَةٞ مِّنۡهَا تَأۡكُلُونَ,joy,There you will have abundant fruit to eat from.,The Ornaments of Gold,Az-Zukhruf
43,31,سورة الزخرف,وَقَالُواْ لَوۡلَا نُزِّلَ هَٰذَا ٱلۡقُرۡءَانُ عَلَىٰ رَجُلٖ مِّنَ ٱلۡقَرۡيَتَيۡنِ عَظِيمٍ,sadness,"And they exclaimed, If only this Quran was revealed to a great man from one of the two cities!",The Ornaments of Gold,Az-Zukhruf
43,38,سورة الزخرف,حَتَّىٰٓ إِذَا جَآءَنَا قَالَ يَٰلَيۡتَ بَيۡنِي وَبَيۡنَكَ بُعۡدَ ٱلۡمَشۡرِقَيۡنِ فَبِئۡسَ ٱلۡقَرِينُ,sadness,"But when such a person comes to Us, one will say to their associate, I wish you were as distant from me as the east is from the west! What an evil associate you were!",The Ornaments of Gold,Az-Zukhruf
43,40,سورة الزخرف,أَفَأَنتَ تُسۡمِعُ ٱلصُّمَّ أَوۡ تَهۡدِي ٱلۡعُمۡيَ وَمَن كَانَ فِي ضَلَٰلٖ مُّبِينٖ,sadness,"Can you make the deaf hear, or guide the blind or those clearly astray?",The Ornaments of Gold,Az-Zukhruf
43,47,سورة الزخرف,فَلَمَّا جَآءَهُم بِـَٔايَٰتِنَآ إِذَا هُم مِّنۡهَا يَضۡحَكُونَ,sadness,"But as soon as he came to them with Our signs, they laughed at them,",The Ornaments of Gold,Az-Zukhruf
43,57,سورة الزخرف,۞وَلَمَّا ضُرِبَ ٱبۡنُ مَرۡيَمَ مَثَلًا إِذَا قَوۡمُكَ مِنۡهُ يَصِدُّونَ,sadness,"When the son of Mary was cited as an example in argument, your people O Prophet broke into joyful applause.",The Ornaments of Gold,Az-Zukhruf
43,58,سورة الزخرف,وَقَالُوٓاْ ءَأَٰلِهَتُنَا خَيۡرٌ أَمۡ هُوَۚ مَا ضَرَبُوهُ لَكَ إِلَّا جَدَلَۢاۚ بَلۡ هُمۡ قَوۡمٌ خَصِمُونَ,sadness,"They exclaimed, Which is better: our gods or Jesus? They cite him only to argue. In fact, they are a people prone to dispute.",The Ornaments of Gold,Az-Zukhruf
42,17,سورة الشورىٰ,ٱللَّهُ ٱلَّذِيٓ أَنزَلَ ٱلۡكِتَٰبَ بِٱلۡحَقِّ وَٱلۡمِيزَانَۗ وَمَا يُدۡرِيكَ لَعَلَّ ٱلسَّاعَةَ قَرِيبٞ,anger,"It is Allah Who has revealed the Book with the truth and the balance of justice. You never know, perhaps the Hour is near.",The Consultation,Ash-Shuraa
42,35,سورة الشورىٰ,وَيَعۡلَمَ ٱلَّذِينَ يُجَٰدِلُونَ فِيٓ ءَايَٰتِنَا مَا لَهُم مِّن مَّحِيصٖ,anger,so those who dispute about Our signs may know that they have no refuge.,The Consultation,Ash-Shuraa
42,46,سورة الشورىٰ,وَمَا كَانَ لَهُم مِّنۡ أَوۡلِيَآءَ يَنصُرُونَهُم مِّن دُونِ ٱللَّهِۗ وَمَن يُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِن سَبِيلٍ,anger,"They will have no protectors to help them against Allah. And whoever Allah leaves to stray, for them there is no way.",The Consultation,Ash-Shuraa
42,10,سورة الشورىٰ,وَمَا ٱخۡتَلَفۡتُمۡ فِيهِ مِن شَيۡءٖ فَحُكۡمُهُۥٓ إِلَى ٱللَّهِۚ ذَٰلِكُمُ ٱللَّهُ رَبِّي عَلَيۡهِ تَوَكَّلۡتُ وَإِلَيۡهِ أُنِيبُ,fear,"Say to the believers, O  Prophet, Whatever you may differ about, its judgment rests with Allah. That is Allahmy Lord. In Him I put my trust, and to Him I always turn.",The Consultation,Ash-Shuraa
42,18,سورة الشورىٰ,يَسۡتَعۡجِلُ بِهَا ٱلَّذِينَ لَا يُؤۡمِنُونَ بِهَاۖ وَٱلَّذِينَ ءَامَنُواْ مُشۡفِقُونَ مِنۡهَا وَيَعۡلَمُونَ أَنَّهَا ٱلۡحَقُّۗ أَلَآ إِنَّ ٱلَّذِينَ يُمَارُونَ فِي ٱلسَّاعَةِ لَفِي ضَلَٰلِۭ بَعِيدٍ,fear,"Those who disbelieve in it ask to hasten it mockingly. But the believers are fearful of it, knowing that it is the truth. Surely those who dispute about the Hour have gone far astray.",The Consultation,Ash-Shuraa
42,31,سورة الشورىٰ,وَمَآ أَنتُم بِمُعۡجِزِينَ فِي ٱلۡأَرۡضِۖ وَمَا لَكُم مِّن دُونِ ٱللَّهِ مِن وَلِيّٖ وَلَا نَصِيرٖ,fear,"You can never escape Him on earth, nor do you have any protector or helper besides Allah.",The Consultation,Ash-Shuraa
42,34,سورة الشورىٰ,أَوۡ يُوبِقۡهُنَّ بِمَا كَسَبُواْ وَيَعۡفُ عَن كَثِيرٖ,fear,Or He can wreck the ships for what the people have committedthough He forgives much,The Consultation,Ash-Shuraa
42,37,سورة الشورىٰ,وَٱلَّذِينَ يَجۡتَنِبُونَ كَبَٰٓئِرَ ٱلۡإِثۡمِ وَٱلۡفَوَٰحِشَ وَإِذَا مَا غَضِبُواْ هُمۡ يَغۡفِرُونَ,fear,"who avoid major sins and shameful deeds, and forgive when angered;",The Consultation,Ash-Shuraa
42,47,سورة الشورىٰ,ٱسۡتَجِيبُواْ لِرَبِّكُم مِّن قَبۡلِ أَن يَأۡتِيَ يَوۡمٞ لَّا مَرَدَّ لَهُۥ مِنَ ٱللَّهِۚ مَا لَكُم مِّن مَّلۡجَإٖ يَوۡمَئِذٖ وَمَا لَكُم مِّن نَّكِيرٖ,fear,"Respond to your Lord before the coming of a Day from Allah that cannot be averted. There will be no refuge for you then, nor grounds for denial of sins.",The Consultation,Ash-Shuraa
42,53,سورة الشورىٰ,صِرَٰطِ ٱللَّهِ ٱلَّذِي لَهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِۗ أَلَآ إِلَى ٱللَّهِ تَصِيرُ ٱلۡأُمُورُ,fear,"the Path of Allah, to Whom belongs whatever is in the heavens and whatever is on the earth. Surely to Allah all matters will return for judgment.",The Consultation,Ash-Shuraa
